backend_name;api_name
acc_channel;acc_channel
acc_group;acc_group
acc_invoice_channel;acc_invoice_channel
acc_invoice_group;acc_invoice_group
acc_invoice_subchannel;acc_invoice_subchannel
acc_subchannel;acc_subchannel
acc_subgroup;acc_subgroup
account_number;account_number
account_status;account_status
account_type;account_type
ad_description;ad_description
ad_distribution;ad_distribution
ad_group_language;ad_group_language
ad_labels;ad_labels
ad_rotation;ad_rotation
ad_type;ad_type
addomain;addomain
adgroup_broad_max_cpc;adgroup_broad_max_cpc
adgroup_content_max_cpc;adgroup_content_max_cpc
adgroup_end_date;adgroup_end_date
adgroup_engineid;adgroup_engineid
adgroup_exact_max_cpc;adgroup_exact_max_cpc
adgroup_labels;adgroup_labels
adgroup_mobile_bid_adjustment;adgroup_mobile_bid_adjustment
adgroup_phrase_max_cpc;adgroup_phrase_max_cpc
adgroup_search_max_cpc;adgroup_search_max_cpc
adgroup_start_date;adgroup_start_date
adgroup_status;adgroup_status
advert_type;advert_type
advertiser;advertiser
advertiser_currency;advertiser_currency
adwords_account;adwords_account
adwords_account_currency;adwords_account_currency
adwords_account_tz;adwords_account_tz
adwords_ad;adwords_ad
adwords_ad_group_status;adwords_ad_group_status
adwords_ad_id;adwords_ad_id
adwords_ad_status;adwords_ad_status
adwords_adgroup;adwords_adgroup
adwords_bid_strategy;adwords_bid_strategy
adwords_campaign;adwords_campaign
adwords_campaign_status;adwords_campaign_status
adwords_customer;adwords_customer
adwords_keyword;adwords_keyword
adwords_keyword_match_type;adwords_keyword_match_type
adwords_label;adwords_label
adwords_network;adwords_network
adwords_network_type2;adwords_network_type2
adwords_primary_company;adwords_primary_company
adwords_video_channel;adwords_video_channel
adwords_video_duration;adwords_video_duration
adwords_video_title;adwords_video_title
am_user;am_user
am_userid;am_userid
bannertrackid;bannertrackid
base_customer_trackgroup;base_trackgroup
bid_match_type;bid_match_type
bid_strategy;bid_strategy
bid_strategy_inherited;bid_strategy_inherited
bid_strategy_type;bid_strategy_type
bing_ads_budget_type;bing_ads_budget_type
bingads_account;bingads_account
bingads_ad;bingads_ad
bingads_ad_distributions;bingads_ad_distributions
bingads_adgroup;bingads_adgroup
bingads_campaign;bingads_campaign
bingads_keyword;bingads_keyword
bingads_language;bingads_language
bm_account;s_account
bm_ad;s_ad
bm_campaign;s_campaign
bm_group;s_group
bm_keyword;s_keyword
bm_match_type;s_match_type
bm_type;s_type
brand;brand
browser;browser
browser_charsetid;browser_charsetid
browser_languageid;browser_languageid
budget_association_status;budget_association_status
budget_name;budget_name
budget_status;budget_status
business_category;business_category
business_listing;business_listing
buying_type;buying_type
campaign_end_date;campaign_end_date
campaign_engineid;campaign_engineid
campaign_labels;campaign_labels
