backend_name;api_name
Radio Report with Everything;radio_report_with_everything
Radio Report;radio_report
ab_test_report;ab_test
acc_am_jira_hour;acc_am_jira_hour
acc_customer_trend;acc_customer_trend
acc_product_trend;acc_product_trend
acc_verticals_trend;acc_verticals_trend
acc_verticals_trend_and_product;acc_verticals_trend_and_product
acc_yoy_customer_trend;acc_yoy_customer_trend
acc_yoy_product_trend;acc_yoy_product_trend
account_performance_report;adwords_account
accounting;acc_income
accounting1;acc_income_by_customer_jira_hour
accounting2;acc_income_by_acc_group
accounting3;acc_income_by_customer_per_acc_group
accounting_by_customer_groups;acc_income_by_customer_group
adwords_adgroup_joined;adwords_adgroup_joined
adwords_ads_joined;adwords_ad_joined
adwords_keyword_joined;adwords_keyword_joined
air_arabia_joined;air_arabia_adwords_bing_joined
amazon_pforzheim_short;amazon_pforzheim_short
amazon_pforzheim_week;amazon_pforzheim_week
arch_ca;ca_custom
arch_ca_ext;ca_ext
arch_indirect;cj_cross_channel
assisting_quartile;cj_quartile
assisting_ratio;cj_assisting_ratio
audience_performance_report;adwords_audience
bannertrack_source;raw_banner_data
bid_goal_performance_report;adwords_bid_goal
bing_ads_joined;bing_campaign_joined
bingads_ad_report;bing_ad
bingads_adgroup_joined;bing_adgroup_joined
bingads_adgroup_report;bing_adgroup
bingads_keyword_report;bing_keyword
bingads_report;bing_campaign
c_attr;ca_by_conv
c_model_eq;ca_equal
c_model_f;ca_first
c_model_l;ca_last
ca_models;ca_by_conv_time
ca_models_event_time;ca_by_event_time
ca_models_without_tg_airberlin;ca_without_tg_airberlin
chain_details;cj_details
chain_uplift;tv_uplift_conv
channels;channels
channels_join_facebook;channels_join_facebook
channels_since_20170420;channels_since_20170420
consorsbank_crowdfunding_performanceverlauf;consorsbank_crowdfunding_performanceverlauf
contact_points;cj_contact_points
conversion_attribution;ca
conversion_per_channel;ca_conv_per_channel
conversions;conversions
currency_rates_date;currency_rates_date
currency_rates_month;currency_rates_month
customer_journey;cj
daily;daily
det_grouped;conversions_leads
detailed_delay;detailed_delay
devices;devices
devices_desktop_and_tablet_together;devices_desktop_and_tablet_together
devices_not_grouped;devices_not_grouped
dim_params;campaign_param
display_report;display_report
domains;domains
doubleclick;doubleclick
doubleclick_search_adgroup_report;ds_adgroup
doubleclick_search_campaign_report;ds_campaign
